Title,Developer(s)
Akagi: Yami ni Furitatta Tensai •Simple 2000 Ultimate Series Vol. 19: AkagiJP,Warashi
Akai Ito,Success Corporation
Akane Iro ni Somaru Saka: Parallel,Feng
Akira Psycho Ball,KAZe
Akudaikan,Global A
Akudaikan 2: Mousouden,Global A
Akudaikan 3,Global A
Alan Hansen's Sports Challenge,The Code Monkeys
Alarm for Cobra 11 Vol. 2: Hot Pursuit •Alarm fuer Cobra 11 Vol IIDE,Davilex
Alex Ferguson's Player Manager 2001 •DSF Fußball Manager 2002DE •Guy Roux Manager 2002FR,Anco Software
Alfa Romeo Racing Italiano •S.C.A.R.: Squadra Corse Alfa RomeoEU,Milestone
Alias,Acclaim Studios Cheltenham
Alien Hominid,The Behemoth
Aliens in the Attic,Revistronic
Aliens Versus Predator: Extinction,Zono
All Star Fighters •Simple 2000 Series Vol. 91: The All Star KakutouJP,D3 Publisher
All Star Pro-Wrestling,Square
All Star Pro-Wrestling II,Square
All Star Pro-Wrestling III,Square
All-Star Baseball 2002,Acclaim Studios Austin
All-Star Baseball 2003,Acclaim Studios Austin
All-Star Baseball 2004,Acclaim Studios Austin
All-Star Baseball 2005,Acclaim Studios Austin
Alone in the Dark,Hydravision Entertainment
Alone in the Dark: The New Nightmare,Spiral House
Alpine Racer 3,Namco
Alpine Ski Racing 2007,49Games
Alpine Skiing 2005,49Games
Alter Echo,Outrage Games
"Altered Beast •Jyuouki: Project Altered BeastJP, KO",Wow Entertainment
Alvin and the Chipmunks,Brash Entertainment
Amagami,Enterbrain
Amagoushi no Yakata,Fog
America Oudan Ultra-Quiz,DigiCube
American Chopper,Creat Studio
American Chopper 2: Full Throttle,Creat Studio
American Idol •Pop IdolEU,Hothouse Creations
American Pool II,Phoenix Games
AMF Xtreme Bowling •AMF Xtreme Bowling 2006EU,Mud Duck Productions
Amplitude,Harmonix Music Systems
An American Tail,Data Design Interactive
AND 1 Streetball,Black Ops Entertainment
Angel Profile,GeneX
Angel Wish: Kimi no Egao ni Chu!,Pionesoft
Angel's Feather,KID
Angel's Feather: Kuro no Zanei,Blue Impact
Angelic Concert,Success Corporation
Angelique Etoile,Ruby Party
Angelique Trois,Ruby Party
Angelique Trois: Aizouhen,Ruby Party
Animal Soccer World,The Code Monkeys
Animaniacs: The Great Edgar Hunt,Warthog
The Ant Bully,Artificial Mind and Movement
Antz Extreme Racing,Supersonic Software
Anubis II,Data Design Interactive
Anya Nisasayaku,Idea Factory
Aoi no Mamade...,Idea Factory
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~,Kogado Studio
Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki,Kogado Studio
Aoishiro,Success Corporation
"Ape Escape 2 •Saru! Get You! 2JP, AS",Sony Computer Entertainment
"Ape Escape 3 •Saru! Get You! 3JP, AS",Sony Computer Entertainment
Ape Escape: Pumped & Primed •Gacha Mecha Stadium Saru BattleJP,Japan Studio
Apocripha/0,GN Software
Appleseed EX,DreamFactory
Aqua Aqua •AquaquaJP •Aqua Aqua: Wetrix 2EU,Zed Two Limited
Aqua Kids,Cinepix
Aqua Teen Hunger Force Zombie Ninja Pro-Am,Creat Studio
Ar tonelico: Melody of Elemia •Ar tonelico: Sekai no Owari de Utai Tsudzukeru ShoujoJP,Gust
Ar tonelico II: Melody of Metafalica •Ar tonelico II: Sekai ni Hibiku Shoujo Tachi no MetafalicaJP,Gust
Arabians Lost: The Engagement on Desert,QuinRose
Arc the Lad: End of Darkness •Arc the Lad: GenerationJP,Cattle Call
Arc the Lad: Twilight of the Spirits •Arc: Twilight of the SpiritsEU •Arc the Lad: Seirei no KoukonJP,Cattle Call
Arcade Action: 30 Games,SG Diffusion
Arcade Classics Volume One,Play It!
Arcade USA,Mere Mortals
Arcana Heart,Konami Examu Entertainment inc.
Arcobaleno!,Idea Factory
Arctic Thunder,Inland Productions
Are You Smarter Than a 5th Grader: Make the Grade,ImaginEngine
Area 51,Midway Studios Austin
Arena Football,EA Tiburon
Arena Football: Road to Glory,Budcat
Aria: The Natural ~Tooi Yume no Mirage~,Regista
Aria: The Origination ~Aoi Hoshi no Il Cielo~,Regista
Armen Noir,Otomate
Armored Core: Formula Front,FromSoftware
Armored Core: Last Raven,FromSoftware
Armored Core: Nexus,FromSoftware
Armored Core: Nine Breaker,FromSoftware
Armored Core 2,FromSoftware
Armored Core 2: Another Age,FromSoftware
Armored Core 3,FromSoftware
Army Men: Air Attack 2 •Army Men: Air Attack – Blade's RevengeEU,3DO
Army Men: Green Rogue,3DO
Army Men: Major Malfunction,Global Star Software
Army Men: RTS •Totsugeki! Army Men: Shijou Saishou no SakusenJP,Pandemic Studios
Army Men: Sarge's Heroes 2,3DO
Army Men: Sarge's War,Tactical Development
Army Men: Soldiers of Misfortune,Big Blue Bubble
Art of Fighting Anthology •Ryuuko no Ken: Ten-Chi-JinJP,SNK Playmore
Arthur and the Invisibles: The Game •Arthur and the MinimoysEU •Arthur and the InvisiblesUK/AU,Etranges Libellules
Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami
Ashita no Joe 2: The Anime Super Remix,Capcom
Ashita no Joe Touchi: Typing Namida Hashi,Dual
Asobi ni Iku Yo!,Design Factory
Assault Suits Valken •Juusou Kihei ValkenJP,Psikyo
Asterix & Obelix: Kick Buttix •Asterix & Obelix XXLEU,Etranges Libellules
Asterix & Obelix XXL 2: Mission: Las Vegum,Etranges Libellules
Asterix at the Olympic Games,Etranges Libellules
Astro Boy •Astro Boy: Tetsuwan AtomJP,Sonic Team
Astro Boy: The Video Game,High Voltage Software
Astro Kyuudan: Kessen!! Victory Kyuudanhen,Sunrise Interactive
Atari Anthology,Digital Eclipse
Atelier Iris: Eternal Mana •Iris no Atelier: Eternal ManaJP,Gust
Atelier Iris 2: The Azoth of Destiny •Iris no Atelier: Eternal Mana 2JP,Gust
Atelier Iris 3: Grand Phantasm •Iris no Atelier: Grand FantasmJP,Gust
Atelier Marie + Elie,Gust
Athens 2004,Eurocom Entertainment Software
Atlantis III: The New World,Cryo Interactive
A-Train 6 •A6: A-Ressha de Ikou 6JP,Artdink
ATV Offroad Fury •ATV OffroadEU,Rainbow Studios
ATV Offroad Fury 2,Rainbow Studios
ATV Offroad Fury 3,Climax Group
ATV Offroad Fury 4,Climax Group
ATV Quad Power Racing 2,Climax Brighton
Austin Mini Racing,Data Design Interactive
Australian Idol Sing,Milestone
Auto Modellista •Auto Modellista: U.S.-TunedJP,Capcom
Autobahn Raser IV,Davilex
Autobahn Raser: Das Spiel zum Film,Davilex
Avatar: The Last Airbender •Avatar: The Legend of AangPAL,THQ Studio Australia
Avatar: The Last Airbender – The Burning Earth •Avatar: The Legend of Aang – The Burning EarthPAL,THQ Studio Australia
Avatar: The Last Airbender – Into the Inferno •Avatar – The Legend of Aang: Into the InfernoPAL,THQ Studio Australia
Ayakashibito,Dimple Entertainment
Azumi •Simple 2000 Ultimate Series Vol. 32: AzumiJP,Gargoyle Mechanics
Azur & Asmar,Wizarbox
B-Boy,FreeStyleGames
Babe,Aqua Pacific
Backyard Baseball,Humongous Entertainment
Backyard Baseball '09,Humongous Entertainment
Backyard Baseball '10,Farsight Studios
Backyard Basketball •Junior Sports BasketballEU,Humongous Entertainment
Backyard Football '08,FarSight Technologies
Backyard Football '09,FarSight Technologies
Backyard Football '10,FarSight Technologies
Backyard Football 2006,Humongous Entertainment
Backyard Sports: Baseball 2007,Game Brains
Backyard Sports: Basketball 2007,Game Brains
Backyard Wrestling: Don't Try This at Home,Paradox Development
Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development
Bad Boys: Miami Takedown •Bad Boys IIEU,Blitz Games
Bakufuu Slash! Kizna Arashi,Sony Computer Entertainment
Bakugan Battle Brawlers,Now Production
Bakumatsu Renka: Karyuu Kenshiden,Vridge
Bakumatsu Renka: Shinsengumi,Vridge
Bakumatsu Rouman: Gekka no Kenshi 1-2,SNK Playmore
Bakushou! Jinsei Kaidou,Taito
Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,Dual
Baldr Bullet: Equilibrium,TGL
Baldr Force EXE,HuneX
Baldur's Gate: Dark Alliance,Snowblind Studios
Baldur's Gate: Dark Alliance II,Black Isle Studios
Band Hero,BudCat
Barbarian •Warrior Blade: Rastan vs. BarbarianJP,Saffire
Barbie as the Island Princess,Human Soft
Barbie Horse Adventures: Riding Camp,Pixel Tales
Barbie Horse Adventures: Wild Horse Rescue,Blitz Games
Barbie in the 12 Dancing Princesses,Blue Monkey Studios
The Bard's Tale,InXile Entertainment
Barnyard,Blue Tongue
Baroque •Baroque InternationalJP,Sting Entertainment
The Baseball 2002: Battle Ball Park Sengen,Konami
The Baseball 2003,Konami
The Baseball 2003: Akikigou,Konami
Baseball Live 2005,Namco
Baseball Mania •Simple 2000 Series Vol. 57: The Pro Yakyuu 2004JP,Tamsoft
Basic Studio: Powerful Game Koubou,Artdink
Baskelian,Jorudan
Basketball Xciting •Simple 2000 Series Vol. 30: The Street Baske – 3 on 3JP,Tamsoft
Bass Landing 3,Sammy Studios
Bass Strike,THQ
Batman Begins,Eurocom
Batman: Rise of Sin Tzu,Ubisoft Montreal
Batman: Vengeance,Ubisoft Montreal
Battle Assault 3 featuring Gundam Seed,"Natsume Co., Ltd."
Battle Engine Aquila,Lost Toys
Battle Gear 3,Nex Entertainment
Battle of Sunrise,Sunrise Interactive
The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,Dimps Corporation
Battle Stadium D.O.N,Eighting
Battlefield 2: Modern Combat,DICE
Battlestar Galactica,Warthog
BCV: Battle Construction Vehicles •Kensetsu Juuki Kenka Battle: Buchigire Kongou!!JP,Artdink
Beach King Stunt Racer,Davilex
Beast Sapp,Nippon Amuse
Beat Down: Fists of Vengeance •Beat DownJP,Cavia
Beatmania,Konami
BeatMania Da Da Da!!,Konami Digital Entertainment
BeatMania Da Da Da!! The Best Da,Konami Digital Entertainment
Beatmania IIDX 3rd Style,Konami Computer Entertainment Japan
Beatmania IIDX 4th Style: New Songs Collection,Konami Computer Entertainment Japan
Beatmania IIDX 5th Style: New Songs Collection,Konami Computer Entertainment Japan
Beatmania IIDX 6th Style: New Songs Collection,Konami Computer Entertainment Japan
Beatmania IIDX 7th Style,Konami Computer Entertainment Studios
Beatmania IIDX 8th Style,Konami Computer Entertainment Studios
Beatmania IIDX 9th Style,Konami Computer Entertainment Studios
Beatmania IIDX 10th Style,Konami
Beatmania IIDX 11: IIDX RED,Konami Digital Entertainment
Beatmania IIDX 12: Happy Sky,Konami Digital Entertainment
Beatmania IIDX 13: Distorted,Konami Digital Entertainment
Beatmania IIDX 14: Gold,Konami Digital Entertainment
Beatmania IIDX 15: DJ Troopers,Konami Digital Entertainment
Beatmania IIDX 16: Empress + Premium Best,Konami Digital Entertainment
Beck: The Game,Flagship
Bee Movie Game,Beenox
Ben 10: Alien Force,Monkey Bar Games
Ben 10: Protector Of Earth,High Voltage Software
Ben 10 Alien Force: Vilgax Attacks,Papaya Studio
Ben 10 Ultimate Alien: Cosmic Destruction,Papaya Studio
Ben Hur: Blood of Braves,Microids
Berserk: Millennium Falcon Hen Seima Senki no Shō,Yuke's
Beta Bloc •Simple 2000 Series Vol. 106: The Block Kuzushi Quest – Dragon KingdomJP,Tamsoft
Beverly Hills Cop,Atomic Planet Entertainment
Beyond Good & Evil,Ubisoft Montpellier
Biathlon 2008 •RTL Biathlon 2008EU,49Games
The Bible Game,Crave Entertainment
Big Idea's Veggie Tales: LarryBoy and the Bad Apple,Papaya Studio
Big Mutha Truckers •Bakusou Convoy Densetsu – Otoko Hanamichi America RomanJP,Eutechnyx
Big Mutha Truckers 2 •Big Mutha Truckers 2: Truck Me HarderEU,Eutechnyx
The Bigs,Blue Castle Games
The Bigs 2,Blue Castle Games
Biker Mice from Mars,Creat Studios
Bikkuri Mouse,Sony Computer Entertainment
Billiards Xciting •Simple 2000 Series Vol. 14: The BilliardJP,Agenda
Billy the Wizard: Rocket Broomstick Racing,Data Design Interactive
Binchou-tan: Shiawasegoyomi,Marvelous Interactive
Bionicle,Argonaut Games
Bionicle Heroes,Traveller's Tales
The Bishoujou Simulation RPG •Simple 2000 Series Vol. 21: The Bishoujo Simulation RPG – Moonlight TaleJP,Yuki
Bistro Cupid 2,Success
Black,Criterion Games
Black & Bruised,Digital Fiction
Black Cat: Kikai Shikake no Tenshi,Capcom
Black Market Bowling,Tantalus
Black/Matrix II,Flight-Plan
Blade II,Mucky Foot
Blazing Souls,Neverland
Bleach: Blade Battlers,Racjin
Bleach: Blade Battlers 2,Racjin
Bleach: Erabareshi Tamashii,Aspect
Bleach: Hanatareshi Yabou,Dingo Inc.
Blitz: The League,Midway Games
Blokus Club with Bumpy Trot,Irem
Blood Omen 2,Crystal Dynamics
Blood Will Tell: Tezuka Osamu's Dororo •DororoJP,Sega
Blood: The Last Vampire - Gekan,Sony Computer Entertainment
Blood: The Last Vampire - Joukan,Sony Computer Entertainment
Blood+: One Night Kiss,Grasshopper Manufacture
Blood+: Souyoku no Battle Rondo,Sony Computer Entertainment
BloodRayne,Terminal Reality
BloodRayne 2,Terminal Reality
Bloody Roar 3,Eighting
Bloody Roar 4,Eighting
BlowOut,Terminal Reality
BMX XXX,Z-Axis
Board Games Gallery,Phoenix Games
Bob the Builder Eye Toy,Atomic Planet Entertainment
Bob the Builder: Festival of Fun,Atomic Planet Entertainment
Boboboubo Boubobo: Hajike Matsuri,Hudson Soft
Boboboubo Boubobo: Shuumare! Taikan Boubobo,Hudson Soft
Bode Miller Alpine Skiing •Ski Alpin 2006EU,49Games
The Boku no Machidzukuri 2 – Machi-ing Maker 2.1 •Simple 2000 Series Vol. 121: The Boku no Machidzukuri 2 – Machi-ing Maker 2.1JP,Indi
Boku no Natsuyasumi 2: Umi no Bouken Hen,Millennium Kitchen
Boku wa Chiisai,Victor Interactive Software
Bokura no Kazoku,Millennium Kitchen
Bolt,Avalanche Software
Bombastic •Xi GoJP,Shift
Bomberman Hardball •Bomberman BattlesJP,Hudson Soft
Bomberman Jetters,Hudson Soft
Bomberman Kart,"Racjin, Hudson Soft"
Bomberman Kart DX,"Racjin, Hudson Soft"
Bomberman Land 2,Racjin
Bomberman Land 3,Racjin
Boogie,Pipeworks Studios
Bouken Jidai Katsugeki: Goemon,Konami
Bouken Shounen Club Gahou,Jorudan
Bouken-Ou Beet: Darkness Century,Shade
Boukoku no Aegis 2035: Warship Gunner,Koei
The Bouncer,DreamFactory
Bowling Xciting •Simple 2000 Series Vol. 24: The Bowling HyperJP,Tamsoft
Boxing Champions •Simple 2000 Series Vol. 7: The Boxing – Real First FighterJP,Tamsoft
Bratz: Forever Diamondz,Blitz Games
Bratz: Girlz Really Rock,Blitz Games
Bratz: The Movie,Blitz Games
Bratz: Rock Angelz,Blitz Games
Brave Story: Wataru no Bouken,"SIMS Co., Ltd."
Brave: The Search for Spirit Dancer,Vis Entertainment
Bravo Music: Chou-Meikyokuban,Sony Computer Entertainment
Bravo Music: Christmas Edition,Sony Computer Entertainment
"Breath of Fire: Dragon Quarter •Breath of Fire V: Dragon QuarterJP, KO",Capcom Production Studio 3
Breeders' Cup World Thoroughbred Championships,4J Studios
Brian Lara International Cricket 2005 •Ricky Ponting International Cricket 2005AU,Codemasters
Brian Lara International Cricket 2007 •Ricky Ponting International Cricket 2007AU•Yuvraj Singh International Cricket 2007IN,Codemasters
Britney's Dance Beat,Metro Graphics
Broken Sword: The Sleeping Dragon •Baphomets Fluch: Der schlafende DracheDE •Broken Sword: Nemureru Ryuu no DensetsuJP,Revolution Software
Brothers in Arms: Earned in Blood •Brothers in Arms: Meiyo no DaishouJP,Gearbox Software
Brothers in Arms: Road to Hill 30 •Brother in Arms: Road to Hill 30KO,Gearbox Software
Brunswick Pro Bowling,Point of View
Buccaneer •Simple 2000 Series Vol. 96: The Kaizoku – Gaikotsu Ippaire~tsu!JP,DigitalWare
Buffy the Vampire Slayer: Chaos Bleeds,Eurocom
Bujingai: The Forsaken City •BujingaiJP •Bujingai: SwordmasterEU,Taito
Bully •Canis Canem EditPAL,Rockstar Vancouver
Burnout,Criterion Games
Burnout 2: Point of Impact,Criterion Games
Burnout 3: Takedown,Criterion Games
Burnout Dominator,Criterion Games
Burnout Revenge,Criterion Games
Busin 0: Wizardry Alternative Neo,Racjin
Busou Renkin: Yokosu Papillon Park e,Shade
Bust-A-Bloc •Simple 2000 Series Vol. 5: The Block Kuzushi HyperJP,Tamsoft
Butt-Ugly Martians: Zoom or Doom!,Crave Entertainment
Buzz!: The BIG Quiz,Relentless Software
Buzz!: Brain of the World,Relentless Software
Buzz!: The Hollywood Quiz,Relentless Software
Buzz!: The Mega Quiz,Relentless Software
Buzz!: The Music Quiz,Relentless Software
Buzz!: The Pop Quiz,Relentless Software
Buzz!: The Schools Quiz,Relentless Software
Buzz!: The Sports Quiz,Relentless Software
Buzz! Junior: Ace Racers,Cohort Studios
Buzz! Junior: Dino Den,Cohort Studios
Buzz! Junior: Jungle Party,Magenta Software
Buzz! Junior: Monster Rumble,FreeStyleGames & Magenta Software
Buzz! Junior: Robo Jam,Cohort Studios
C@M-Station,Arduc
Cabela's African Safari,Sand Grain Studios
Cabela's Alaskan Adventures,Sand Grain Studios
Cabela's Big Game Hunter (2002),Sand Grain Studios
Cabela's Big Game Hunter (2007),Sand Grain Studios
Cabela's Big Game Hunter 2005 Adventures,Sand Grain Studios
Cabela's Dangerous Hunts,Sand Grain Studios
Cabela's Dangerous Hunts 2,Sand Grain Studios
Cabela's Dangerous Hunts 2009 •Cabela's Dangerous AdventuresPAL,Sand Grain Studios
Cabela's Deer Hunt: 2004 Season •Cabela's Deer Hunt: Season OpenerNA,Sand Grain Studios
Cabela's Deer Hunt: 2005 Season,Sand Grain Studios
Cabela's Legendary Adventures,Sand Grain Studios
Cabela's Monster Bass,Sand Grain Studios
Cabela's North American Adventures,Fun Labs
Cabela's Outdoor Adventures (2005),Sand Grain Studios
Cabela's Outdoor Adventures (2009),Sand Grain Studios
Cabela's Trophy Bucks,Sand Grain Studios
Cafe Lindbergh: Summer Season,PrincessSoft
Cafe Little Wish: Mahou no Recipe,PrincessSoft
Cake Mania: Baker's Challenge,Coresoft
Call of Duty: Finest Hour,Spark Unlimited
Call of Duty: World at War – Final Fronts,Rebellion Developments
Call of Duty 2: Big Red One,Treyarch
Call of Duty 3,Treyarch
Cambrian QTS: Kaseki ni Nattemo,Tenky
Canaria,Frontwing
Canvas: Motif of Sepia •Canvas: Sepia-iro no MotifJP,Cocktail Soft
Canvas 2: Red Colored Palette •Canvas 2: Akane Iro no PaletteJP,Kadokawa Games
Canvas 3: Tanshoku no Pastel,GN Software
Capcom Classics Collection Vol. 1,Backbone Entertainment
Capcom Classics Collection Vol. 2,Backbone Entertainment
"Capcom Fighting Evolution •Capcom Fighting JamEU, JP, KO",Capcom
Capcom vs. SNK 2: Mark of the Millennium 2001 •Capcom vs. SNK 2: Millionaire Fighting 2001JP,Capcom
Captain Scarlet,Brain in a Jar
Captain Tsubasa,Bandai
Car Racing Challenge •Simple 2000 Series Vol. 68: The Tousou Highway: Nagoya – TokyoJP,Tamsoft
Card Captor Sakura: Sakura-Chan to Asobo!,NHK
Cardinal Arc: Konton no Fuusatsu,Idea Factory
Carmen Sandiego: The Secret of the Stolen Drums,A2M
Carol Vorderman's Sudoku,Atomic Planet Entertainment
Cars,Rainbow Studios
Cars Mater-National Championship,Rainbow Studios
Cars Race-O-Rama,Incinerator Studios
CART Fury Championship Racing,Midway
Cart Kings,Gameshastra Inc.
Cartagra,KID
Cartoon Kingdom,Phoenix Games
Cartoon Network Racing,Eutechnyx
Carwash Tycoon,Aqua Pacific
Casino Challenge,Aqua Pacific
Casper and The Ghostly Trio,Data Design Interactive
Casper: Spirit Dimensions,Lucky Chicken
Casper's Scare School,Data Design Interactive
Castle Fantasia: Arihato Senki,Studio e.go!
Castle Fantasia: Erenshia Senki Plus Stories,Kadokawa Games
Castle Shikigami 2 •Shikigami no Shiro 2JP •Castle Shikigami II: War of the WorldsEU,Alfa System
Castlevania: Curse of Darkness •Akumajou Dracula: Yami no JuinJP,Konami TYO
Castlevania: Lament of Innocence •CastlevaniaEU.JP,Konami TYO
Castleween •Mahou no PumpkinJP,Kalisto Entertainment
Catwoman,Argonaut Games
CaveMan Rock,Phoenix Games
Cel Damage Overdrive,Pseudo Interactive
Centre Court: Hard Hitter •Magical Sports: Hard HitterJP,Magical Company
Chaindive,Alvion
Champions of Norrath: Realms of Everquest,Snowblind Studios
Champions: Return to Arms,Snowblind Studios
Championship Manager 2006,Beautiful Game Studios
Championship Manager 2007,Beautiful Game Studios
Championship Manager 5,Beautiful Game Studios
Chandragupta: Warrior Prince,Immersive Games
Chanter♯: Kimi no Uta ga Todoitara,Terios
Chaos Field: New Order,MileStone Inc.
Chaos Legion,Capcom
Chaos Wars,Idea Factory
Charlie and the Chocolate Factory,High Voltage Software
Charlie's Angels,Neko Entertainment
Charlotte's Web,Atomic Planet Entertainment
Cheggers Party Quiz,Oxygen Games
Chemist Tycoon,Aqua Pacific
Chenuen no San Goku Shi,Game Arts
Cherry Blossom,Takuyo
Chess Challenger,Play It!
Chess Crusade,Slam Games
Chessmaster,Ubisoft
Choaniki: Sei Naru Protein Densetsu,Global A
Chobits: Chii dake no Hito,Affect
Chocolat: Maid Cafe Curio,HuneX
ChopLifter: Crisis Shield,ASK
ChoroQ •Choro Q HG 4JP,Barnhouse Effect
ChoroQ Works,Atlus
Chou Gouka! Quiz Ketteiban •TBS All-Star Kansha Matsuri Vol .1: Chou Gouka! Quiz KetteibanJP,Hudson Soft
Chou-jikuu Yousai Macross,Sega AM2
Chou-Saisoku! Zokusha King BU,Tamsoft
Chou-Saisoku! Zokusha King BU no BU •Simple 2000 Ultimate Series Vol.25: Chou-Saisoku! Zokusha King BU no BUJP,Tamsoft
Choukousoku Igo,Success
Choukousoku Mahjong,Success
Choukousoku Mahjong Plus,Success
Choukousoku Reversi,Success
Choukousoku Shogi,Success
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe •Narnia Koku Monogatari: Lion to MajoJP",Traveller's Tales
The Chronicles of Narnia: Prince Caspian,Traveller's Tales
Chu~Kana Janshi,GeneX
Chulip,Punchline
CID The Dummy,Twelve Games
Cinderella,Phoenix Games
Circuit Blasters,Supersonic Software
Circus Maximus: Chariot Wars,Kodiak Interactive
City Crisis,Syscom Entertainment
City Soccer Challenge,Data Design Interactive
Clannad,Visual Arts
Classic British Motor Racing,Data Design Interactive
Clear: Atarashii Kaze no Fuku Oka de,Moonstone
Clever Kids-Dino Land,Midas Interactive Entertainment
Clever Kids-Pony World,Midas Interactive Entertainment
Climax Tennis: WTA Tour Edition,Konami
Clock Tower 3,Capcom Production Studio 3
Clock Zero: Shuuen no Ichibyou,Otomate
Clover Heart's: Looking for Happiness,ALcot
Clover no Kuni no Alice,Quinrose
Club Football,Codemasters
Club Football 2005,Codemasters
Clumsy Shumsy,Phoenix Games
Cluster Edge,Matrix Software
CMT Presents: Karaoke Revolution Country,Harmonix
Cocoto Fishing Master,Neko Entertainment
Cocoto Funfair,Neko Entertainment
Cocoto Kart Racer,Neko Entertainment
Cocoto Platform Jumper,Neko Entertainment
Code Age Commanders,Square Enix
